Supplier,List ID,Count,Year-Week
Shift 44,83532,1023,2023-07
Shift 44,83531,3979,2023-08
Shift 44,83532,1019,2023-08
Shift 44,83531,3000,2023-09
Shift 44,83532,641,2023-09
Shift 44,83531,2859,2023-10
Shift 44,83532,200,2023-10
Shift 44,83531,3000,2023-11
Shift 44,83532,200,2023-11
Shift 44,83531,3000,2023-12
Shift 44,83532,200,2023-12
Shift 44,83531,341,2023-13
Shift 44,83532,200,2023-13
Shift 44,83531,3000,2023-14
Shift 44,83532,200,2023-14
Shift 44,83531,3000,2023-15
Shift 44,83532,200,2023-15
Shift 44,83531,3000,2023-16
Shift 44,83532,200,2023-16
Shift 44,83531,2000,2023-17
Shift 44,83532,200,2023-17
Shift 44,83531,2999,2023-18
Shift 44,83532,200,2023-18
Shift 44,83531,3000,2023-19
Shift 44,83532,200,2023-19
Shift 44,83531,3000,2023-20
Shift 44,83532,200,2023-20
Shift 44,83531,2001,2023-21
Shift 44,83532,200,2023-21
Shift 44,83532,200,2023-22
SilverTAP,54001,1961,2022-52
SilverTAP,54006,1361,2022-52
SilverTAP,54001,20781,2023-01
SilverTAP,54006,21669,2023-01
SilverTAP,54001,24064,2023-02
SilverTAP,54006,28736,2023-02
SilverTAP,54001,25181,2023-03
SilverTAP,54006,29379,2023-03
SilverTAP,54001,14838,2023-04
SilverTAP,54006,26533,2023-04
SilverTAP,54001,8322,2023-05
SilverTAP,54006,22870,2023-05
SilverTAP,54001,11807,2023-06
SilverTAP,54006,19995,2023-06
SilverTAP,54001,12117,2023-07
SilverTAP,54006,19357,2023-07
SilverTAP,54001,12751,2023-08
SilverTAP,54006,18763,2023-08
SilverTAP,54001,9559,2023-09
SilverTAP,54006,15780,2023-09
SilverTAP,54001,5677,2023-10
SilverTAP,54006,15855,2023-10
SilverTAP,54001,5577,2023-11
SilverTAP,54006,15150,2023-11
SilverTAP,54001,7271,2023-12
SilverTAP,54006,18799,2023-12
SilverTAP,54001,8357,2023-13
SilverTAP,54006,19000,2023-13
