date,revenue,campaign,source,click_count
2023-03-31 15:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 15:00:00,120.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 15:00:00,6.0,Unknown,Clicks.net,3.0
2023-03-31 15:00:00,2.0,17636347892,Clicks.net,1.0
2023-03-31 15:00:00,4.0,18463616520,Clicks.net,2.0
2023-03-31 15:00:00,91.15,Unknown,Lead Current,0.0
2023-03-31 15:00:00,62.0,54001,Lead Current,0.0
2023-03-31 15:00:00,65.0,54006,Lead Current,0.0
2023-03-31 15:00:00,65.0,54101,Lead Current,0.0
2023-03-31 15:00:00,371.2,54102,Lead Current,0.0
2023-03-31 15:00:00,81.79,54773,Lead Current,0.0
2023-03-31 15:00:00,65.0,54901,Lead Current,0.0
2023-03-31 15:00:00,149.0,54902,Lead Current,0.0
2023-03-31 15:00:00,19.33,CMG-CC-LNSA-T1,Lead Current,0.0
2023-03-31 15:00:00,308.0,DegreeSearch,Lead Current,0.0
2023-03-31 15:00:00,34.0,directnav,Lead Current,0.0
2023-03-31 15:00:00,110.0,paidsearch,Lead Current,0.0
2023-03-31 16:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 16:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 16:00:00,2.0,17636347892,Clicks.net,1.0
2023-03-31 16:00:00,137.0,Unknown,Lead Current,0.0
2023-03-31 16:00:00,19.33,24180Z,Lead Current,0.0
2023-03-31 16:00:00,78.43,54001,Lead Current,0.0
2023-03-31 16:00:00,149.63,54101,Lead Current,0.0
2023-03-31 16:00:00,69.01,54102,Lead Current,0.0
2023-03-31 16:00:00,61.5,54771,Lead Current,0.0
2023-03-31 16:00:00,209.01,55011,Lead Current,0.0
2023-03-31 16:00:00,61.5,83531,Lead Current,0.0
2023-03-31 16:00:00,563.0,DegreeSearch,Lead Current,0.0
2023-03-31 16:00:00,28.25,directnav,Lead Current,0.0
2023-03-31 16:00:00,191.89,paidsearch,Lead Current,0.0
2023-03-31 17:00:00,28.0,Unknown,Education Dynamics,0.0
2023-03-31 17:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 17:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 17:00:00,272.0,Unknown,Lead Current,0.0
2023-03-31 17:00:00,105.5,54101,Lead Current,0.0
2023-03-31 17:00:00,178.58,54102,Lead Current,0.0
2023-03-31 17:00:00,80.83,54771,Lead Current,0.0
2023-03-31 17:00:00,311.33,DegreeSearch,Lead Current,0.0
2023-03-31 17:00:00,41.38,directnav,Lead Current,0.0
2023-03-31 18:00:00,40.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 18:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 18:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 18:00:00,104.0,Unknown,Lead Current,0.0
2023-03-31 18:00:00,34.51,21753,Lead Current,0.0
2023-03-31 18:00:00,50.74,54001,Lead Current,0.0
2023-03-31 18:00:00,502.51,54101,Lead Current,0.0
2023-03-31 18:00:00,19.0,54102,Lead Current,0.0
2023-03-31 18:00:00,132.83,54771,Lead Current,0.0
2023-03-31 18:00:00,61.5,54773,Lead Current,0.0
2023-03-31 18:00:00,61.5,54902,Lead Current,0.0
2023-03-31 18:00:00,109.77,557001,Lead Current,0.0
2023-03-31 18:00:00,34.0,CMG-CC-VLT-RT,Lead Current,0.0
2023-03-31 18:00:00,292.0,DegreeSearch,Lead Current,0.0
2023-03-31 19:00:00,60.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 19:00:00,60.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 19:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 19:00:00,207.74,Unknown,Lead Current,0.0
2023-03-31 19:00:00,18.0,24181,Lead Current,0.0
2023-03-31 19:00:00,105.35,54001,Lead Current,0.0
2023-03-31 19:00:00,82.34,54101,Lead Current,0.0
2023-03-31 19:00:00,106.22,54102,Lead Current,0.0
2023-03-31 19:00:00,66.15,54771,Lead Current,0.0
2023-03-31 19:00:00,63.69,54772,Lead Current,0.0
2023-03-31 19:00:00,93.82,54901,Lead Current,0.0
2023-03-31 19:00:00,516.0,DegreeSearch,Lead Current,0.0
2023-03-31 19:00:00,35.13,directnav,Lead Current,0.0
2023-03-31 19:00:00,11.93,paidsearch,Lead Current,0.0
2023-03-31 20:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 20:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 20:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 20:00:00,34.0,Unknown,Lead Current,0.0
2023-03-31 20:00:00,24.0,24180Z,Lead Current,0.0
2023-03-31 20:00:00,28.0,54001,Lead Current,0.0
2023-03-31 20:00:00,363.66,54101,Lead Current,0.0
2023-03-31 20:00:00,69.2,54102,Lead Current,0.0
2023-03-31 20:00:00,52.0,54401,Lead Current,0.0
2023-03-31 20:00:00,13.2,54772,Lead Current,0.0
2023-03-31 20:00:00,31.96,54773,Lead Current,0.0
2023-03-31 20:00:00,108.45,55011,Lead Current,0.0
2023-03-31 20:00:00,28.0,557001,Lead Current,0.0
2023-03-31 20:00:00,529.0,DegreeSearch,Lead Current,0.0
2023-03-31 20:00:00,40.89,paidsearch,Lead Current,0.0
2023-03-31 21:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 21:00:00,30.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 21:00:00,34.0,Unknown,Lead Current,0.0
2023-03-31 21:00:00,37.58,24180Z,Lead Current,0.0
2023-03-31 21:00:00,49.44,54101,Lead Current,0.0
2023-03-31 21:00:00,65.72,54102,Lead Current,0.0
2023-03-31 21:00:00,23.15,54771,Lead Current,0.0
2023-03-31 21:00:00,44.94,54772,Lead Current,0.0
2023-03-31 21:00:00,70.92,54902,Lead Current,0.0
2023-03-31 21:00:00,49.52,55011,Lead Current,0.0
2023-03-31 21:00:00,50.97,557001,Lead Current,0.0
2023-03-31 21:00:00,20.9,557002,Lead Current,0.0
2023-03-31 21:00:00,84.0,DegreeSearch,Lead Current,0.0
2023-03-31 21:00:00,199.54,paidsearch,Lead Current,0.0
2023-03-31 22:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 22:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 22:00:00,30.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 22:00:00,76.44,54102,Lead Current,0.0
2023-03-31 22:00:00,19.43,54771,Lead Current,0.0
2023-03-31 22:00:00,23.15,54772,Lead Current,0.0
2023-03-31 22:00:00,85.32,55011,Lead Current,0.0
2023-03-31 22:00:00,28.0,557002,Lead Current,0.0
2023-03-31 22:00:00,19.07,83531,Lead Current,0.0
2023-03-31 22:00:00,110.04,paidsearch,Lead Current,0.0
2023-03-31 23:00:00,40.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 23:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 23:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 23:00:00,31.96,54001,Lead Current,0.0
2023-03-31 23:00:00,111.35,54102,Lead Current,0.0
2023-03-31 23:00:00,176.82,paidsearch,Lead Current,0.0
2023-04-01 00:00:00,13.0,Unknown,Education Dynamics,0.0
2023-04-01 00:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-04-01 00:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 00:00:00,36.93,paidsearch,Lead Current,0.0
2023-04-01 01:00:00,80.0,Unknown,Education Dynamics,0.0
2023-04-01 01:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-04-01 01:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 01:00:00,47.52,paidsearch,Lead Current,0.0
2023-04-01 01:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-04-01 02:00:00,39.0,Unknown,Education Dynamics,0.0
2023-04-01 02:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 02:00:00,56.9,paidsearch,Lead Current,0.0
2023-04-01 03:00:00,153.0,Unknown,Education Dynamics,0.0
2023-04-01 03:00:00,210.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 03:00:00,6.0,Unknown,Clicks.net,3.0
2023-04-01 03:00:00,72.65,paidsearch,Lead Current,0.0
2023-04-01 03:00:00,2.0,17636347892.0,My Ad Optimizer,1.0
2023-04-01 04:00:00,65.0,Unknown,Education Dynamics,0.0
2023-04-01 04:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 04:00:00,6.0,Unknown,Clicks.net,3.0
2023-04-01 04:00:00,30.0,paidsearch,Lead Current,0.0
2023-04-01 05:00:00,13.0,Unknown,Education Dynamics,0.0
2023-04-01 05:00:00,30.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 05:00:00,167.27,paidsearch,Lead Current,0.0
2023-04-01 06:00:00,19.0,Unknown,Education Dynamics,0.0
2023-04-01 06:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 06:00:00,80.0,paidsearch,Lead Current,0.0
2023-04-01 07:00:00,13.0,Unknown,Education Dynamics,0.0
2023-04-01 07:00:00,180.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 07:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-01 07:00:00,40.0,10516,Lead Current,0.0
2023-04-01 07:00:00,34.0,10521,Lead Current,0.0
2023-04-01 07:00:00,16.84,directnav,Lead Current,0.0
2023-04-01 07:00:00,52.0,paidsearch,Lead Current,0.0
2023-04-01 08:00:00,118.0,Unknown,Education Dynamics,0.0
2023-04-01 08:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 08:00:00,60.0,directnav,Lead Current,0.0
2023-04-01 08:00:00,56.0,paidsearch,Lead Current,0.0
2023-04-01 09:00:00,92.0,Unknown,Education Dynamics,0.0
2023-04-01 09:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 09:00:00,2.0,Unknown,Clicks.net,1.0
2023-04-01 09:00:00,28.0,paidsearch,Lead Current,0.0
2023-04-01 09:00:00,2.0,17636347892.0,My Ad Optimizer,1.0
2023-04-01 10:00:00,26.0,Unknown,Education Dynamics,0.0
2023-04-01 10:00:00,210.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 10:00:00,10.0,Unknown,Clicks.net,5.0
2023-04-01 10:00:00,14.0,17636347892,Clicks.net,7.0
2023-04-01 11:00:00,162.0,Unknown,Education Dynamics,0.0
2023-04-01 11:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 11:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 11:00:00,8.0,18463616520,Clicks.net,4.0
2023-04-01 11:00:00,20.58,directnav,Lead Current,0.0
2023-04-01 11:00:00,101.48,paidsearch,Lead Current,0.0
2023-04-01 12:00:00,78.0,Unknown,Education Dynamics,0.0
2023-04-01 12:00:00,240.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 12:00:00,6.0,Unknown,Clicks.net,3.0
2023-04-01 12:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 12:00:00,2.0,18463616520,Clicks.net,1.0
2023-04-01 12:00:00,32.0,10417,Lead Current,0.0
2023-04-01 12:00:00,53.0,54001,Lead Current,0.0
2023-04-01 12:00:00,107.07,54772,Lead Current,0.0
2023-04-01 12:00:00,92.89,55011,Lead Current,0.0
2023-04-01 12:00:00,22.0,directnav,Lead Current,0.0
2023-04-01 12:00:00,30.0,paidsearch,Lead Current,0.0
2023-04-01 13:00:00,60.0,Unknown,Education Dynamics,0.0
2023-04-01 13:00:00,240.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 13:00:00,4.0,Unknown,Clicks.net,2.0
2023-04-01 13:00:00,4.0,17636347892,Clicks.net,2.0
2023-04-01 13:00:00,40.07,54001,Lead Current,0.0
2023-04-01 13:00:00,101.37,54103,Lead Current,0.0
2023-04-01 13:00:00,136.58,54772,Lead Current,0.0
2023-04-01 13:00:00,27.29,paidsearch,Lead Current,0.0
2023-04-01 14:00:00,81.0,Unknown,Education Dynamics,0.0
2023-04-01 14:00:00,210.0,Unknown,Southern New Hampshire University,0.0
2023-04-01 14:00:00,6.0,Unknown,Clicks.net,3.0
2023-04-01 14:00:00,4.0,17636347892,Clicks.net,2.0
