date,click_count,revenue,campaign
2023-05-09 09:00:00,1,2,
2023-05-09 06:00:00,1,2,17636347892
2023-05-09 05:00:00,1,2,17636347892
2023-05-09 03:00:00,1,2,
2023-05-08 23:00:00,1,2,17636347892
2023-05-08 21:00:00,1,2,17636347892
2023-05-08 02:00:00,2,4,17636347892
2023-05-08 00:00:00,1,2,
2023-05-07 20:00:00,2,4,
2023-05-07 15:00:00,1,2,
2023-05-07 13:00:00,1,2,
2023-05-07 12:00:00,1,2,17636347892
2023-05-07 09:00:00,2,4,
2023-05-07 04:00:00,5,10,
2023-05-07 00:00:00,1,2,19743484261
2023-05-06 21:00:00,1,2,17636347892
2023-05-06 20:00:00,1,2,
2023-05-06 14:00:00,4,8,17636347892
2023-05-06 12:00:00,1,2,18463616520
2023-05-06 10:00:00,1,2,17636347892
2023-05-06 09:00:00,1,2,17636347892
2023-05-06 05:00:00,2,4,17636347892
2023-05-06 04:00:00,1,2,
2023-05-06 01:00:00,1,2,
2023-05-06 00:00:00,5,10,
2023-05-05 22:00:00,2,4,18463616520
2023-05-05 18:00:00,1,2,18463616520
2023-05-05 17:00:00,1,2,17636347892
2023-05-05 15:00:00,1,2,
2023-05-05 02:00:00,1,2,17636347892
2023-05-04 22:00:00,1,2,17636347892
2023-05-04 21:00:00,1,2,18463616520
2023-05-04 17:00:00,2,4,
2023-05-04 14:00:00,1,2,18463616520
2023-05-04 13:00:00,1,2,
2023-05-04 11:00:00,1,2,
2023-05-04 08:00:00,1,2,18463616520
2023-05-04 04:00:00,1,2,17636347892
2023-05-04 03:00:00,2,4,
2023-05-04 01:00:00,4,8,17636347892
2023-05-04 00:00:00,2,4,
2023-05-03 23:00:00,5,10,17636347892
2023-05-03 08:00:00,1,2,17636347892
2023-05-03 04:00:00,1,2,
2023-05-03 02:00:00,1,2,17636347892
2023-05-03 01:00:00,3,6,
2023-05-03 00:00:00,2,4,17636347892
2023-05-02 20:00:00,1,2,17636347892
2023-05-02 13:00:00,2,4,17636347892
2023-05-02 09:00:00,1,2,
2023-05-02 07:00:00,2,4,
2023-05-02 05:00:00,1,2,
2023-05-02 01:00:00,2,4,
2023-05-01 21:00:00,1,2,
2023-05-01 17:00:00,1,2,
2023-05-01 16:00:00,1,2,18463616520
2023-05-01 15:00:00,2,4,
2023-05-01 08:00:00,1,2,17636347892
2023-05-01 06:00:00,1,2,17636347892
2023-05-01 03:00:00,6,12,17636347892
2023-05-01 01:00:00,4,8,
2023-05-01 00:00:00,2,4,
2023-04-30 09:00:00,1,2,
2023-04-30 04:00:00,1,2,
2023-04-30 03:00:00,2,4,17636347892
2023-04-29 15:00:00,1,2,18463616520
2023-04-29 14:00:00,2,4,
2023-04-29 13:00:00,1,2,
2023-04-29 12:00:00,1,2,17636347892
2023-04-29 11:00:00,1,2,17636347892
2023-04-29 08:00:00,1,2,17636347892
2023-04-29 07:00:00,1,2,
2023-04-29 05:00:00,1,2,
2023-04-29 01:00:00,2,4,17636347892
2023-04-29 00:00:00,3,6,17636347892
2023-04-28 19:00:00,1,2,
2023-04-28 18:00:00,1,2,
2023-04-28 11:00:00,4,8,17636347892
2023-04-28 08:00:00,1,2,
2023-04-28 07:00:00,1,2,17636347892
2023-04-28 05:00:00,1,2,17636347892
2023-04-27 22:00:00,1,2,18463616520
2023-04-27 21:00:00,2,4,17636347892
2023-04-27 14:00:00,1,2,
2023-04-27 13:00:00,1,2,
2023-04-27 05:00:00,1,2,17636347892
2023-04-26 23:00:00,1,2,17636347892
2023-04-26 19:00:00,2,4,17636347892
2023-04-26 18:00:00,2,4,17636347892
2023-04-26 15:00:00,2,4,17636347892
2023-04-26 14:00:00,1,2,18463616520
2023-04-26 13:00:00,1,2,17636347892
2023-04-26 12:00:00,1,2,17636347892
2023-04-26 11:00:00,1,2,17636347892
2023-04-25 20:00:00,1,2,18463616520
2023-04-25 19:00:00,1,2,18463616520
2023-04-25 17:00:00,1,2,17636347892
2023-04-25 13:00:00,1,2,
2023-04-25 03:00:00,1,2,17636347892
2023-04-25 01:00:00,1,2,
2023-04-25 00:00:00,1,2,17636347892
2023-04-24 18:00:00,1,2,17636347892
2023-04-24 16:00:00,2,4,
2023-04-24 15:00:00,4,8,
2023-04-24 13:00:00,1,2,17636347892
2023-04-24 12:00:00,1,2,
2023-04-24 07:00:00,1,2,17636347892
2023-04-23 20:00:00,1,2,
2023-04-23 14:00:00,2,4,
2023-04-23 13:00:00,2,4,
2023-04-23 12:00:00,1,2,
2023-04-23 09:00:00,1,2,
2023-04-23 06:00:00,1,2,
2023-04-23 04:00:00,4,8,17636347892
2023-04-23 03:00:00,1,2,18463616520
2023-04-23 02:00:00,1,2,
2023-04-23 01:00:00,1,2,
2023-04-22 18:00:00,1,2,
2023-04-22 16:00:00,6,12,
2023-04-22 15:00:00,1,2,
2023-04-22 12:00:00,1,2,
2023-04-22 10:00:00,2,4,17636347892
2023-04-22 06:00:00,1,2,17636347892
2023-04-22 05:00:00,4,8,
2023-04-22 02:00:00,1,2,
2023-04-22 01:00:00,1,2,17636347892
2023-04-21 21:00:00,1,2,
2023-04-21 19:00:00,2,4,17636347892
2023-04-21 16:00:00,1,2,
2023-04-21 14:00:00,1,2,
2023-04-21 08:00:00,1,2,
2023-04-21 06:00:00,1,2,17636347892
2023-04-21 03:00:00,1,2,17636347892
2023-04-21 01:00:00,1,2,17636347892
2023-04-21 00:00:00,1,2,
2023-04-20 23:00:00,1,2,18463616520
2023-04-20 15:00:00,2,4,17636347892
2023-04-20 14:00:00,1,2,
2023-04-20 10:00:00,1,2,
2023-04-20 09:00:00,2,4,17636347892
2023-04-20 08:00:00,2,4,17636347892
2023-04-20 02:00:00,2,4,17636347892
2023-04-20 01:00:00,1,2,
2023-04-20 00:00:00,3,6,
2023-04-19 22:00:00,1,2,17636347892
2023-04-19 18:00:00,1,2,
2023-04-19 17:00:00,1,2,18463616520
2023-04-19 15:00:00,2,4,17636347892
2023-04-19 13:00:00,1,2,17636347892
2023-04-19 12:00:00,1,2,17636347892
2023-04-19 06:00:00,2,4,18463616520
2023-04-19 04:00:00,1,2,
2023-04-18 22:00:00,1,2,17636347892
2023-04-18 20:00:00,1,2,
2023-04-18 18:00:00,3,6,17636347892
2023-04-18 15:00:00,1,2,18463616520
2023-04-18 14:00:00,2,4,18463616520
2023-04-18 13:00:00,3,6,17636347892
2023-04-18 12:00:00,4,8,17636347892
2023-04-18 11:00:00,1,2,17636347892
2023-04-18 08:00:00,2,4,
2023-04-18 02:00:00,2,4,17636347892
2023-04-18 01:00:00,1,2,17636347892
2023-04-18 00:00:00,3,6,17636347892
2023-04-17 23:00:00,3,6,17636347892
2023-04-17 21:00:00,1,2,17636347892
2023-04-17 18:00:00,4,8,17636347892
2023-04-17 16:00:00,4,8,17636347892
2023-04-17 15:00:00,1,2,
2023-04-17 13:00:00,1,2,17636347892
2023-04-17 09:00:00,1,2,18463616520
2023-04-17 06:00:00,1,2,17636347892
2023-04-17 01:00:00,1,2,17636347892
2023-04-16 18:00:00,2,4,
2023-04-16 07:00:00,1,2,17636347892
2023-04-16 03:00:00,1,2,
2023-04-15 21:00:00,4,8,
2023-04-15 14:00:00,1,2,17636347892
2023-04-15 13:00:00,1,2,
2023-04-15 10:00:00,1,2,
2023-04-15 09:00:00,1,2,17636347892
2023-04-15 05:00:00,1,2,
2023-04-15 01:00:00,1,2,17636347892
2023-04-14 23:00:00,2,4,17636347892
2023-04-14 21:00:00,1,2,
2023-04-14 17:00:00,1,2,17636347892
2023-04-14 16:00:00,1,2,17636347892
2023-04-14 14:00:00,1,2,17636347892
2023-04-14 12:00:00,1,2,17636347892
2023-04-14 08:00:00,2,4,17636347892
2023-04-14 07:00:00,1,2,
2023-04-14 02:00:00,1,2,17636347892
2023-04-14 00:00:00,1,2,17636347892
2023-04-13 22:00:00,1,2,17636347892
2023-04-13 20:00:00,1,2,17636347892
2023-04-13 19:00:00,2,4,
2023-04-13 17:00:00,2,4,
2023-04-13 16:00:00,1,2,17636347892
2023-04-13 15:00:00,3,6,
2023-04-13 12:00:00,2,4,17636347892
2023-04-13 11:00:00,1,2,17636347892
2023-04-13 06:00:00,2,4,17636347892
2023-04-13 05:00:00,1,2,
2023-04-13 04:00:00,3,6,
2023-04-13 02:00:00,1,2,17636347892
2023-04-12 23:00:00,1,2,17636347892
2023-04-12 22:00:00,1,2,17636347892
2023-04-12 21:00:00,2,4,
2023-04-12 20:00:00,2,4,
2023-04-12 19:00:00,1,2,17636347892
2023-04-12 18:00:00,1,2,
2023-04-12 17:00:00,1,2,17636347892
2023-04-12 16:00:00,1,2,17636347892
2023-04-12 08:00:00,3,6,17636347892
2023-04-12 07:00:00,1,2,17636347892
2023-04-11 22:00:00,2,4,17636347892
2023-04-11 19:00:00,1,2,
2023-04-11 16:00:00,1,2,
2023-04-11 11:00:00,1,2,17636347892
2023-04-11 10:00:00,1,2,
2023-04-11 08:00:00,1,2,17636347892
2023-04-11 05:00:00,1,2,
2023-04-11 03:00:00,1,2,
2023-04-11 01:00:00,3,6,17636347892
2023-04-10 23:00:00,1,2,17636347892
2023-04-10 22:00:00,1,2,17636347892
2023-04-10 14:00:00,2,4,
2023-04-10 13:00:00,2,4,
2023-04-10 12:00:00,3,6,18463616520
2023-04-10 09:00:00,1,2,17636347892
2023-04-10 08:00:00,1,2,17636347892
2023-04-10 07:00:00,2,4,18463616520
2023-04-10 05:00:00,1,2,
2023-04-10 02:00:00,1,2,17636347892
2023-04-10 01:00:00,1,2,17636347892
2023-04-10 00:00:00,1,2,
2023-04-09 19:00:00,1,2,18463616520
2023-04-09 18:00:00,1,2,
2023-04-09 11:00:00,1,2,17636347892
